time,forecast solar day ahead,forecast wind onshore day ahead,total load forecast,total load actual,price actual,generation wind offshore,generation wind onshore,price day ahead,generation solar,forecast solar day ahead_diff,forecast wind onshore day ahead_diff,total load forecast_diff,total load actual_diff,price actual_diff,generation wind offshore_diff,generation wind onshore_diff,price day ahead_diff,generation solar_diff,log_forecast solar day ahead,log_forecast wind onshore day ahead,log_total load forecast,log_total load actual,log_price actual,log_generation wind offshore,log_generation wind onshore,log_price day ahead,log_generation solar
2015-01-01 01:00:00+01:00,0.0027753686036426713,0.31704726500265534,0.2933383093860794,0.24902871221453615,0.5770697778774961,0.0,0.31946245432040554,0.5718360995850622,0.005839674393912583,-0.00017346053772766693,-0.03422434649200451,-0.05523418548236614,-0.04752203164976776,-0.005496971056764499,0.0,-0.028763409171283727,-0.025933609958506243,0.00017695983011856327,0.0027715243793167018,0.2753923105018755,0.2572267124231343,0.2223662190413756,0.4555685542293495,0.0,0.27722442208153275,0.45224442622084876,0.00582268958714799
2015-01-01 02:00:00+01:00,0.0013876843018213356,0.29332625243405913,0.22714125769733162,0.17094665024163735,0.5721337222346871,0.0,0.29417658847105976,0.5618516597510372,0.005839674393912583,-0.0013876843018213356,-0.02372101256859621,-0.06619705168874779,-0.0780820619728988,-0.0049360556428090785,0.0,-0.02528586584934578,-0.009984439834024972,0.0,0.0013867223577740757,0.25721739002996574,0.20468728355016666,0.15781252443310007,0.4524337554239782,0.0,0.25787465390165665,0.44587207875859014,0.00582268958714799
2015-01-01 03:00:00+01:00,0.0003469210754553339,0.27544698176668436,0.18641537600298552,0.10234056666350788,0.5142472515144716,0.0,0.2810326535423789,0.49623962655601667,0.005839674393912583,-0.0010407632263660018,-0.01787927066737477,-0.0407258816943461,-0.06860608357812947,-0.057886470720215466,0.0,-0.013143934928680878,-0.06561203319502057,0.0,0.0003468609122533085,0.24329669110836044,0.17093647197589756,0.09743570714567619,0.41491845179685066,0.0,0.24766651325511682,0.40295504490428624,0.00582268958714799
2015-01-01 04:00:00+01:00,0.0015611448395490026,0.25833480852068214,0.14643590222056357,0.053918317066237065,0.4774512003589859,0.0,0.263173405634799,0.4461877593360995,0.0044239957529640765,0.0012142237640936687,-0.017112173246002227,-0.03997947378242195,-0.04842224959727082,-0.036796051155485676,0.0,-0.017859247907579867,-0.05005186721991717,-0.0014156786409485062,0.0015599275197209451,0.22978926636650798,0.13665791440062636,0.05251494907641918,0.39031844123082565,0.0,0.23362713056699572,0.36893096270415526,0.0044142386500900235
2015-01-01 05:00:00+01:00,0.0006938421509106678,0.24393697999645958,0.1303881321142003,0.03690893584762622,0.45041507740632714,0.0,0.24448897795591185,0.4113070539419087,0.0030083171120155725,-0.0008673026886383347,-0.014397828524222556,-0.01604777010636327,-0.017009381218610842,-0.02703612295265878,0.0,-0.018684427678887172,-0.0348807053941908,-0.001415678640948504,0.0006936015537299717,0.2182813338669357,0.12256105349566514,0.036244110393960166,0.37184977574805217,0.0,0.21872498618196012,0.3445162636127553,0.0030038011807278137
2015-01-01 06:00:00+01:00,0.0005203816131830009,0.223815424558919,0.12311065497294271,0.04188382450488015,0.42910029167601527,0.0,0.23146292585170342,0.4036566390041494,0.0030083171120155725,-0.00017346053772766693,-0.020121555437540573,-0.007277477141257593,0.004974888657253929,-0.02131478573031187,0.0,-0.01302605210420843,-0.007650414937759309,0.0,0.0005202462616255102,0.20197337579014654,0.11610220605158533,0.04103044431777149,0.3570450796032858,0.0,0.2082028332545708,0.3390807165803091,0.0030038011807278137
2015-01-01 07:00:00+01:00,0.0020815264527320036,0.2071753112645306,0.13523978354170552,0.05927224485928173,0.42573479919228185,0.0,0.20759165389602735,0.41779045643153523,0.003185276942134135,0.0015611448395490028,-0.016640113294388414,0.012129128568762804,0.01738842035440158,-0.003365492483733412,0.0,-0.023871271955676066,0.014133817427385842,0.0001769598301185624,0.0020793630781062045,0.1882831770235808,0.12684389165281387,0.05758211087922362,0.3546873293755694,0.0,0.18862800751168116,0.3490996431645631,0.0031802146944603427
2015-01-01 08:00:00+01:00,0.0067649609713790115,0.1840443736354517,0.13048143310319082,0.04586373543068323,0.3982499439084586,0.0,0.18619592125427326,0.36825726141078835,0.006547513714386834,0.0046834345186470075,-0.02313093762907889,-0.004758350438514691,-0.013408509428598503,-0.027484855283823273,0.0,-0.021395732641754095,-0.04953319502074688,0.003362236772252699,0.006742181300918962,0.16893601349218634,0.12264358898597263,0.04484308510179386,0.3352214146040284,0.0,0.170751481919084,0.313537858106769,0.006526171853233532
2015-01-01 09:00:00+01:00,0.1359930615784909,0.1610314509942763,0.13593954095913408,0.0715910167724817,0.45680951312542073,0.0,0.1534244960509254,0.42271784232365145,0.12847283666607678,0.12922810060711187,-0.02301292264117541,0.0054581078559432505,0.02572728134179847,0.05855956921696215,0.0,-0.03277142520334786,0.0544605809128631,0.12192532295168995,0.12750721251489408,0.14930879192185864,0.1274600978959948,0.0691444756487761,0.37624877956193087,0.0,0.1427353400965257,0.35256901576711236,0.12086524668542828
2015-01-01 10:00:00+01:00,0.34622723330442323,0.12592199209299582,0.19490576600111964,0.14801478252629574,0.5099842943684092,0.0,0.1304373452787929,0.5070020746887967,0.3542735798973633,0.21023417172593234,-0.03510945890128048,0.058966225041985565,0.07642376575381404,0.05317478124298847,0.0,-0.02298715077213251,0.0842842323651452,0.22580074323128652,0.2973060381509794,0.11860224853696982,0.1780673253712763,0.13803417457953573,0.4120992496922176,0.0,0.1226045890671564,0.41012229634466935,0.30326520718007777
